,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
72,2012-05-25,R9,Footscray,11,9,75,Geelong,14,11,95,Docklands,-20,2012,Regular,0.0,2012,Footscray,148.0,368.0,45.0,48.0,11.0,Geelong,130.0,359.0,29.0,48.0,8.0,,,,,,
73,2012-05-26,R9,Richmond,21,11,137,Hawthorn,10,15,75,M.C.G.,62,2012,Regular,1.0,2012,Richmond,166.0,430.0,42.0,67.0,14.0,Hawthorn,137.0,349.0,39.0,52.0,12.0,,,,,,
74,2012-05-26,R9,Gold Coast,10,10,70,Port Adelaide,17,16,118,Carrara,-48,2012,Regular,0.0,2012,Gold Coast,136.0,326.0,44.0,47.0,10.0,Port Adelaide,151.0,366.0,41.0,61.0,8.0,,,,,,
75,2012-05-26,R9,St Kilda,16,15,111,Sydney,12,11,83,Docklands,28,2012,Regular,1.0,2012,St Kilda,133.0,362.0,37.0,55.0,15.0,Sydney,121.0,353.0,36.0,42.0,10.0,,,,,,
76,2012-05-26,R9,Adelaide,6,13,49,Collingwood,10,15,75,Football Park,-26,2012,Regular,0.0,2012,Adelaide,160.0,324.0,37.0,49.0,6.0,Collingwood,164.0,367.0,40.0,48.0,7.0,,,,,,
77,2012-05-26,R9,GWS,7,11,53,Essendon,18,11,119,Sydney Showground,-66,2012,Regular,0.0,2012,GWS,142.0,340.0,33.0,50.0,6.0,Essendon,152.0,420.0,43.0,58.0,13.0,,,,,,
78,2012-05-27,R9,North Melbourne,17,10,112,Brisbane Lions,15,6,96,Docklands,16,2012,Regular,1.0,2012,North Melbourne,160.0,382.0,50.0,60.0,11.0,Brisbane Lions,126.0,338.0,31.0,46.0,10.0,,,,,,
79,2012-05-27,R9,Carlton,15,17,107,Melbourne,6,13,49,M.C.G.,58,2012,Regular,1.0,2012,Carlton,175.0,410.0,53.0,58.0,10.0,Melbourne,137.0,340.0,25.0,50.0,5.0,,,,,,
80,2012-05-27,R9,West Coast,11,18,84,Fremantle,5,6,36,Subiaco,48,2012,Regular,1.0,2012,West Coast,141.0,403.0,36.0,64.0,11.0,Fremantle,131.0,294.0,30.0,30.0,3.0,,,,,,
81,2012-06-01,R10,St Kilda,16,17,113,Richmond,18,13,121,Docklands,-8,2012,Regular,0.0,2012,St Kilda,139.0,354.0,35.0,58.0,18.0,Richmond,145.0,415.0,34.0,50.0,14.0,,,,,,
82,2012-06-02,R10,Geelong,19,12,126,GWS,9,7,61,Kardinia Park,65,2012,Regular,1.0,2012,Geelong,144.0,376.0,34.0,49.0,20.0,GWS,127.0,302.0,33.0,35.0,7.0,,,,,,
83,2012-06-02,R10,Hawthorn,27,12,174,North Melbourne,9,5,59,York Park,115,2012,Regular,1.0,2012,Hawthorn,164.0,377.0,49.0,68.0,16.0,North Melbourne,143.0,286.0,34.0,38.0,7.0,,,,,,
84,2012-06-02,R10,Fremantle,12,10,82,Adelaide,17,9,111,Subiaco,-29,2012,Regular,0.0,2012,Fremantle,134.0,367.0,31.0,47.0,8.0,Adelaide,155.0,351.0,52.0,48.0,12.0,,,,,,
85,2012-06-02,R10,Port Adelaide,14,15,99,Carlton,6,9,45,Football Park,54,2012,Regular,1.0,2012,Port Adelaide,161.0,355.0,52.0,61.0,6.0,Carlton,150.0,310.0,40.0,41.0,5.0,,,,,,
86,2012-06-02,R10,Essendon,6,16,52,Melbourne,8,10,58,M.C.G.,-6,2012,Regular,0.0,2012,Essendon,162.0,354.0,27.0,64.0,6.0,Melbourne,159.0,382.0,42.0,51.0,9.0,,,,,,
87,2012-06-03,R10,Brisbane Lions,16,6,102,West Coast,15,10,100,Gabba,2,2012,Regular,1.0,2012,Brisbane Lions,139.0,343.0,45.0,51.0,8.0,West Coast,148.0,352.0,44.0,52.0,7.0,,,,,,
88,2012-06-03,R10,Sydney,20,12,132,Footscray,5,10,40,S.C.G.,92,2012,Regular,1.0,2012,Sydney,163.0,427.0,56.0,63.0,10.0,Footscray,171.0,327.0,53.0,49.0,5.0,,,,,,
89,2012-06-03,R10,Collingwood,23,11,149,Gold Coast,7,10,52,M.C.G.,97,2012,Regular,1.0,2012,Collingwood,157.0,428.0,50.0,61.0,17.0,Gold Coast,110.0,363.0,20.0,36.0,12.0,,,,,,
90,2012-06-08,R11,Carlton,11,19,85,Geelong,14,13,97,Docklands,-12,2012,Regular,0.0,2012,Carlton,147.0,347.0,40.0,54.0,7.0,Geelong,138.0,346.0,37.0,51.0,7.0,5.799999999999997,9.0,12.400000000000034,6.399999999999999,2.0,2.8000000000000007
91,2012-06-09,R11,Richmond,9,12,66,Fremantle,12,6,78,M.C.G.,-12,2012,Regular,0.0,2012,Richmond,172.0,364.0,44.0,58.0,4.0,Fremantle,173.0,354.0,45.0,43.0,9.0,34.599999999999994,1.1999999999999886,36.39999999999998,3.5999999999999943,8.800000000000004,4.799999999999999
92,2012-06-09,R11,Gold Coast,7,7,49,St Kilda,21,18,144,Carrara,-95,2012,Regular,0.0,2012,Gold Coast,103.0,305.0,27.0,31.0,12.0,St Kilda,133.0,400.0,42.0,65.0,19.0,,,,,,
93,2012-06-09,R11,Essendon,11,16,82,Sydney,13,8,86,Docklands,-4,2012,Regular,0.0,2012,Essendon,181.0,368.0,51.0,78.0,12.0,Sydney,151.0,388.0,31.0,50.0,10.0,15.399999999999991,6.599999999999994,34.19999999999999,-1.0,7.600000000000001,2.4000000000000004
94,2012-06-10,R11,Port Adelaide,9,8,62,Hawthorn,16,12,108,Football Park,-46,2012,Regular,0.0,2012,Port Adelaide,128.0,298.0,46.0,41.0,4.0,Hawthorn,133.0,377.0,45.0,56.0,14.0,-5.799999999999997,2.5999999999999943,-18.400000000000034,2.4000000000000057,-10.200000000000003,-2.8000000000000007
