"Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type"
"2014-06-07","R12","Port Adelaide",19,15,129,"St Kilda",9,5,59,"Adelaide Oval",70,2014,"Regular"
"2014-06-07","R12","GWS",9,12,66,"Essendon",11,15,81,"Sydney Showground",-15,2014,"Regular"
"2014-06-07","R12","Footscray",13,9,87,"Brisbane Lions",14,11,95,"Docklands",-8,2014,"Regular"
"2014-06-08","R12","Gold Coast",10,14,74,"Sydney",17,7,109,"Carrara",-35,2014,"Regular"
"2014-06-08","R12","Fremantle",12,18,90,"Adelaide",7,8,50,"Subiaco",40,2014,"Regular"
"2014-06-08","R12","North Melbourne",17,14,116,"Richmond",13,10,88,"Docklands",28,2014,"Regular"
"2014-06-09","R12","Melbourne",3,10,28,"Collingwood",8,13,61,"M.C.G.",-33,2014,"Regular"
"2014-06-13","R13","Carlton",13,12,90,"Hawthorn",18,10,118,"M.C.G.",-28,2014,"Regular"
"2014-06-14","R13","Richmond",12,13,85,"Fremantle",16,9,105,"M.C.G.",-20,2014,"Regular"
"2014-06-14","R13","Sydney",14,14,98,"Port Adelaide",13,16,94,"S.C.G.",4,2014,"Regular"
"2014-06-14","R13","West Coast",15,13,103,"Gold Coast",15,10,100,"Subiaco",3,2014,"Regular"
"2014-06-14","R13","Adelaide",16,13,109,"North Melbourne",10,13,73,"Adelaide Oval",36,2014,"Regular"
"2014-06-14","R13","Brisbane Lions",12,8,80,"GWS",19,11,125,"Gabba",-45,2014,"Regular"
"2014-06-15","R13","Geelong",20,13,133,"St Kilda",5,7,37,"Kardinia Park",96,2014,"Regular"
"2014-06-15","R13","Collingwood",15,8,98,"Footscray",16,10,106,"Docklands",-8,2014,"Regular"
"2014-06-15","R13","Essendon",10,17,77,"Melbourne",12,6,78,"M.C.G.",-1,2014,"Regular"
"2014-06-20","R14","Richmond",7,9,51,"Sydney",9,8,62,"M.C.G.",-11,2014,"Regular"
"2014-06-21","R14","Port Adelaide",19,14,128,"Footscray",8,8,56,"Adelaide Oval",72,2014,"Regular"
"2014-06-21","R14","Hawthorn",17,13,115,"Collingwood",13,8,86,"M.C.G.",29,2014,"Regular"
"2014-06-21","R14","Gold Coast",17,16,118,"Geelong",11,12,78,"Carrara",40,2014,"Regular"
"2014-06-21","R14","Essendon",15,11,101,"Adelaide",14,8,92,"Docklands",9,2014,"Regular"
"2014-06-21","R14","Fremantle",15,15,105,"Brisbane Lions",3,4,22,"Subiaco",83,2014,"Regular"
"2014-06-22","R14","GWS",15,10,100,"Carlton",14,8,92,"Sydney Showground",8,2014,"Regular"
